Candidate,Score,Correct
264,-0.5,0
272,0.0,0
276,0.0,0
289,0.0,0
290,0.0,0
292,-1.0,2
142,-1.0,3
274,0.0,3
60,3.0,3
293,3.0,3
89,3.5,3
300,3.5,3
268,4.0,3
277,4.0,3
262,-4.0,4
160,2.5,4
162,4.0,4
283,4.5,4
77,  5.5 ,4
158,6.0,4
263,6.0,4
288,6.0,4
297,6.5,4
51,3.5,5
83,4.0,5
149,4.5,5
161,5.5,5
279,7.0,5
280,7.0,5
64,7.5,5
72,  7.5 ,5
278,7.5,5
139,8.0,5
267,8.5,5
133,2.5,6
65,  5.0 ,6
154,5.5,6
74,6.5,6
56,7.0,6
67,7.0,6
73,7.0,6
145,7.0,6
151,7.0,6
163,7.0,6
152,7.5,6
270,7.5,6
59,8.0,6
69,8.0,6
82,8.5,6
135,8.5,6
68,9.0,6
75,  9.0 ,6
61,  9.5 ,6
62,9.5,6
157,9.5,6
269,9.5,6
275,9.5,6
296,9.5,6
70,10.0,6
141,10.0,6
60,  10.5 ,6
131,8.0,7
295,8,7
65,8.5,7
291,8.5,7
50,9.0,7
73,  9.0 ,7
78,10.0,7
130,10.0,7
153,10.0,7
273,10.0,7
281,10.0,7
63,  10.5 ,7
80,10.5,7
282,10.5,7
298,10.5,7
66,11.0,7
76,11.0,7
148,11.0,7
150,11.0,7
271,11.0,7
70,  12.0 ,7
87,12,7
155,12.0,7
86,12.5,7
136,12.5,7
140,12.5,7
58,13.0,7
138,8.5,8
64,  10.5 ,8
72,10.5,8
63,11.0,8
77,11.0,8
132,11.5,8
137,11.5,8
299,11.5,8
76,  12.0 ,8
286,12.0,8
71,12.5,8
287,12.5,8
66,  13.0 ,8
81,13.0,8
67,  13.5 ,8
71,  13.5 ,8
84,13.5,8
266,13.5,8
143,14.0,8
294,14.0,8
53,14.5,8
61,14.5,8
159,14.5,8
85,15,8
285,15.0,8
57,12.5,9
54,15.0,9
52,15.5,9
62,  15.5 ,9
75,15.5,9
144,15.5,9
164,15.5,9
68,  16.0 ,9
156,16.0,9
261,16.0,9
55,17.0,9
79,13.5,10
88,16,10
284,16.0,10
74,  17.0 ,10
265,17.0,10